用例标题,前置条件,测试步骤,预期结果,优先级,测试结果
美股整股 - 正常交易日 - 盘前交易时间-限价单-允许盘前盘后下单成功,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,美股整股单限价单-允许盘前盘后下单,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日；GTD触发下单、条件单触发下单成功,P1,
美股整股 - 正常交易日 - 盘前交易时间、市价单下单失败,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,美股整股市价单下单,市价单下单失败,P1,
美股整股 - 正常交易日 - 盘前交易时间-夜盘单下单失败,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,美股整股单下单-仅夜盘,限价单-夜盘下单 失败,P1,
美股整股 - 正常交易日 - 交易中 -下单成功,正常交易日（美股交易日历） - 交易中 ：当日9:30:00-当日16:00:00（美东时间）,美股整股单下单,未清算，限价单、市价单下单成功（直接报盘），交易日是T日；GTD触发下单、条件单触发下单成功,P1,
美股整股 - 正常交易日 - 交易中 -夜盘单下单失败,正常交易日（美股交易日历） - 交易中 ：当日9:30:00-当日16:00:00（美东时间）,美股整股单下单,限价单-夜盘下单 失败,P1,
美股整股 - 正常交易日 - 盘后交易时间-限价单-仅盘中 下单成功,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,美股整股单下单限价单-仅盘中,未清算，限价单-仅盘中 下单成功（预埋单），交易日是T+1日,P1,
美股整股 - 正常交易日 - 盘后交易时间、限价单-允许盘前盘后下单成功,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,美股整股单下单：限价单-允许盘前盘后,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日；GTD触发下单、条件单触发下单成功,P1,
美股整股 - 正常交易日 - 盘后交易时间-市价单下单失败,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,美股整股单市价单下单,市价单下单失败,P1,
美股整股 - 正常交易日 - 盘后交易时间-夜盘下单 失败,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,美股整股单夜盘下单,限价单-夜盘下单 失败,P1,
美股整股 - 半日市（美股交易日历） - 夜盘交易 时间-夜盘单下单成功,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,美股整股单下单,未清算，限价单- 夜盘下单成功（报盘），交易日是T日,P1,
美股整股 - 半日市（美股交易日历） - 夜盘交易 时间-限价单-仅盘中下单成功,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,美股整股单：限价单-仅盘中,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
美股整股 - 半日市（美股交易日历） - 夜盘交易 时间-市价单下单失败,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,美股整股单下单：市价单,市价单下单失败,P1,
美股整股 - 半日市（美股交易日历） - 夜盘交易 时间-盘前盘后下单失败,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,美股整股单下单：限价单-允许盘前盘后,限价单-允许盘前盘后 下单失败,P1,
美股整股 - 半日市（美股交易日历） - 盘前交易时间 -限价单-仅盘中下单成功,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,美股整股单下单，限价单-仅盘中,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
美股整股 - 半日市（美股交易日历） - 盘前交易时间 ，限价单-允许盘前盘后下单成功,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,美股整股单下单，限价单-允许盘前盘后,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日；GTD触发下单、条件单触发下单成功,P1,
美股整股 - 半日市（美股交易日历） - 盘前交易时间 、市价单下单失败,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,美股整股单下单：市价单,市价单下单失败,P1,
美股整股 - 半日市（美股交易日历） - 盘前交易时间 -夜盘下单 失败,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,美股整股单下夜盘单,限价单-夜盘下单 失败,P1,
美股整股 - 半日市（美股交易日历） - 交易中-夜盘下单 失败,半日市（美股交易日历） - 交易中 ：09:30:00-13:00:00（美东时间）,美股整股单下单-夜盘 单,限价单-夜盘下单 失败,P1,
美股整股 - 半日市（美股交易日历） - 交易中-下单成功,半日市（美股交易日历） - 交易中 ：09:30:00-13:00:00（美东时间）,美股整股单下单：限价单或者市价单,未清算，限价单、市价单下单成功（直接报盘），交易日是T日；GTD触发下单、条件单触发下单成功,P1,
美股整股 - 半日市（美股交易日历） - 盘后交易时间-限价单-仅盘中 下单成功,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,美股整股单下单：限价单-仅盘中,未清算，限价单-仅盘中 下单成功（预埋单），交易日是T+1日,P1,
美股整股 - 半日市（美股交易日历） - 盘后交易时间-限价单-允许盘前盘后下单成功,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,美股整股单下单：限价单-允许盘前盘后,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日；GTD触发下单、条件单触发下单成功,P1,
美股整股 - 半日市（美股交易日历） - 盘后交易时间-市价单下单失败,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,美股整股单下单：市价单,市价单下单失败,P1,
美股整股 - 半日市（美股交易日历） - 盘后交易时间-夜盘下单失败,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,美股整股单下单：仅夜盘,限价单-夜盘下单 失败,P1,
美股整股 - T-1日未清算 - 收市撤单,T-1日未清算 - 收市撤单,美股整股单下单,普通订单收市撤单成功,P1,
美股整股 - T-1日未清算 - 收市撤单-GTD,T-1日未清算 - 收市撤单,美股整股单下单,GTD\GTC 订单 收市撤单成功，资金持仓处理正确,P1,
美股沽空 - 非交易时间-下单成功,非交易时间,美股沽空单下单,未清算允许下单，交易日正确（如周末下单，交易日是下周一）,P1,
美股沽空 - 正常交易日 - 限价单-仅盘中下单成功,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,美股沽空单下单,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
美股沽空 - 正常交易日 - 市价单下单失败,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,美股沽空单下单：市价单,市价单下单失败,P1,
美股沽空 - 正常交易日-夜盘交易时间 - 盘前盘后下单失败,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,美股沽空单下单：限价单-允许盘前盘后,限价单-允许盘前盘后 下单失败,P1,
美股沽空 - 正常交易日 - 盘前交易时间-限价单-仅盘中下单成功,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,美股沽空单下单：限价单-仅盘中,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
美股沽空 - 正常交易日 - 盘前交易时间-限价单-仅盘中下单成功,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,美股沽空单下单:限价单-仅盘中,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日,P1,
美股沽空 - 正常交易日 - 盘前交易时间-市价单下单失败,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,美股沽空单下单:市价单,市价单下单失败,P1,
美股沽空 - 正常交易日 - 交易中 -下单成功,正常交易日（美股交易日历） - 交易中 ：当日9:30:00-当日16:00:00（美东时间）,美股沽空单下单,未清算，限价单、市价单下单成功（直接报盘），交易日是T日,P1,
美股沽空 - 正常交易日 - 盘后交易时间-限价单-仅盘中 下单成功,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,美股沽空单下单,未清算，限价单-仅盘中 下单成功（预埋单），交易日是T+1日,P1,
美股沽空 - 正常交易日 - 盘后交易时间-限价单-允许盘前盘后下单成功,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,美股沽空单下单,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日,P1,
美股沽空 - 正常交易日 - 盘后交易时间-市价单下单失败,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,美股沽空单下单,市价单下单失败,P1,
美股沽空 - 半日市（美股交易日历） - 夜盘交易 时间-限价单-仅盘中下单成功,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,美股沽空单下单,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
美股沽空 - 半日市（美股交易日历） - 夜盘交易 时间-市价单下单失败,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,美股沽空单下单,市价单下单失败,P1,
美股沽空 - 半日市（美股交易日历） - 夜盘交易 时间-限价单-允许盘前盘后 下单失败,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,美股沽空单下单,限价单-允许盘前盘后 下单失败,P1,
美股沽空 - 半日市（美股交易日历） - 盘前交易时间 -限价单-仅盘中下单成功,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,美股沽空单下单,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
美股沽空 - 半日市（美股交易日历） - 盘前交易时间 -限价单-允许盘前盘后下单成功,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,美股沽空单下单,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日,P1,
美股沽空 - 半日市（美股交易日历） - 盘前交易时间 -市价单下单失败,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,美股沽空单下单,市价单下单失败,P1,
美股沽空 - 半日市（美股交易日历） - 交易中-下单成功,半日市（美股交易日历） - 交易中 ：09:30:00-13:00:00（美东时间）,美股沽空单下单,未清算，限价单、市价单下单成功（直接报盘），交易日是T日,P1,
美股沽空 - 半日市（美股交易日历） - 盘后交易时间-限价单-仅盘中 下单成功,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,美股沽空单下单,未清算，限价单-仅盘中 下单成功（预埋单），交易日是T+1日,P1,
美股沽空 - 半日市（美股交易日历） - 盘后交易时间-限价单-允许盘前盘后下单成功,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,美股沽空单下单,未清算，限价单-允许盘前盘后下单成功（报盘），交易日是T日,P1,
美股沽空 - 半日市（美股交易日历） - 盘后交易时间-市价单下单失败,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,美股沽空单下单,市价单下单失败,P1,
美股沽空 - T-1日未清算 - 收市撤单-普通单,T-1日未清算 - 收市撤单,美股沽空单下单,普通订单收市撤单成功,P1,
期权 - 期权沽空 - 正常交易日未开盘 时间段-限价单下单成功,"期权沽空 - 正常交易日（美股期权） - 未开盘 ：[00:00:00, 09:30:00) 美东时间",期权沽空单下单,未清算，限价单下单成功（预埋单），交易日是T日,P1,
期权 - 期权沽空 - 正常交易日未开盘 时间段-市价单下单失败,"期权沽空 - 正常交易日（美股期权） - 未开盘 ：[00:00:00, 09:30:00) 美东时间",期权沽空单下单,市价单下单失败,P1,
期权 - 期权沽空 - 正常交易日 交易中时间段 -下单成功,"期权沽空 - 正常交易日（美股期权） - 交易中 ：[09:30:00, 16:00:00) 美东时间",期权沽空单下单,未清算，限价单、市价下单成功（报盘），交易日是T日,P1,
期权 - 期权沽空 - 正常交易日已收盘时间段-普通期权-限价单下单成功,"期权沽空 - 正常交易日（美股期权） - 已收盘 ：[16:00:00, 23:59:59) 美东时间",期权沽空单下单,未清算，普通期权 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权沽空 - 正常交易日已收盘时间段-期权延长交易15分钟-下单成功,"期权沽空 - 正常交易日（美股期权） - 已收盘 ：[16:00:00, 23:59:59) 美东时间",期权沽空单下单,延长交易时间段的期权 16:00-16:15， 限价单下单成功（报盘），交易日是T日；16:15之后 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权沽空 - 正常交易日已收盘时间段-市价单下单失败,"期权沽空 - 正常交易日（美股期权） - 已收盘 ：[16:00:00, 23:59:59) 美东时间",期权沽空单下单,市价单下单失败,P1,
期权 - 期权沽空 - 半日市 未开盘时间-限价单下单成功,"期权沽空 - 半日市（美股期权） - 未开盘 ：[00:00:00, 04:00:00)美东时间",期权沽空单下单,未清算，限价单下单成功（预埋单），交易日是T日,P1,
期权 - 期权沽空 - 半日市 未开盘时间-市价单下单失败,"期权沽空 - 半日市（美股期权） - 未开盘 ：[00:00:00, 04:00:00)美东时间",期权沽空单下单,市价单下单失败,P1,
期权 - 期权沽空 - 半日市- 盘前交易时间段（错误时段）  -限价单下单成功,"期权沽空 - 半日市（美股期权） - 盘前交易 ：[04:00:00, 09:30:00)美东时间--错误",期权沽空单下单,未清算，限价单下单成功（预埋单），交易日是T日,P1,
期权 - 期权沽空 - 半日市- 盘前交易时间段（错误时段） -市价单下单失败,"期权沽空 - 半日市（美股期权） - 盘前交易 ：[04:00:00, 09:30:00)美东时间--错误",期权沽空单下单,市价单下单失败,P1,
期权 - 期权沽空 - 半日市 交易中时间段-下单成功,"期权沽空 - 半日市（美股期权） - 交易中 ：[09:30:00, 13:00:00)美东时间",期权沽空单下单,未清算，限价单、市价下单成功（报盘），交易日是T日,P1,
期权 - 期权沽空 - 半日市  已收盘  普通期权-限价单下单成功,"期权沽空 - 半日市（美股期权） - 已收盘 ：[13:00:00, 23:59:59)美东时间",期权沽空单下单,未清算，普通期权 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权沽空 - 半日市  已收盘  -延长交易时间期权-下单成功,"期权沽空 - 半日市（美股期权） - 已收盘 ：[13:00:00, 23:59:59)美东时间",期权沽空单下单,延长交易时间段的期权 13:00-13:15， 限价单下单成功（报盘），交易日是T日；13:15之后 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权沽空 - 半日市  已收盘 市价单下单失败,"期权沽空 - 半日市（美股期权） - 已收盘 ：[13:00:00, 23:59:59)美东时间",期权沽空单下单,市价单下单失败,P1,
期权 - 期权沽空 - 非交易日限价单下单成功,期权沽空 - 非交易日,期权沽空单下单,未清算，限价单下单成功（预埋单），交易日正确,P1,
期权 - 期权沽空 - T-1日未清算 - 收市撤单-普通订单,期权沽空 - T-1日未清算 - 收市撤单,期权沽空单下单,普通订单收市撤单成功,P1,
期权 - 期权做多 - 正常交易日未开盘 时间段-限价单下单成功,"期权做多 - 正常交易日（美股期权） - 未开盘 ：[00:00:00, 09:30:00) 美东时间",期权做多单下单,未清算，限价单下单成功（预埋单），交易日是T日,P1,
期权 - 期权做多 - 正常交易日未开盘 时间段-市价单下单失败,"期权做多 - 正常交易日（美股期权） - 未开盘 ：[00:00:00, 09:30:00) 美东时间",期权做多单下单,市价单下单失败,P1,
期权 - 期权做多 - 正常交易日 交易中时间段 -下单成功,"期权做多 - 正常交易日（美股期权） - 交易中 ：[09:30:00, 16:00:00) 美东时间",期权做多单下单,未清算，限价单、市价下单成功（报盘），交易日是T日；条件单触发、GTD触发下单成功,P1,
期权 - 期权做多 - 正常交易日已收盘时间段、普通期权 ，限价单下单成功,"期权做多 - 正常交易日（美股期权） - 已收盘 ：[16:00:00, 23:59:59) 美东时间",期权做多单下单,未清算，普通期权 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权做多 - 正常交易日已收盘时间段、延长交易时间段期权 ，限价单下单成功,"期权做多 - 正常交易日（美股期权） - 已收盘 ：[16:00:00, 23:59:59) 美东时间",期权做多单下单,延长交易时间段的期权 16:00-16:15， 限价单下单成功（报盘），交易日是T日；16:15之后 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权做多 - 正常交易日已收盘时间段-市价单下单失败,"期权做多 - 正常交易日（美股期权） - 已收盘 ：[16:00:00, 23:59:59) 美东时间",期权做多单下单,市价单下单失败,P1,
期权 - 期权做多 - 半日市 未开盘时间-限价单下单成功,"期权做多 - 半日市（美股期权） - 未开盘 ：[00:00:00, 04:00:00)美东时间",期权做多单下单,未清算，限价单下单成功（预埋单），交易日是T日,P1,
期权 - 期权做多 - 半日市 未开盘时间-市价单下单失败,"期权做多 - 半日市（美股期权） - 未开盘 ：[00:00:00, 04:00:00)美东时间",期权做多单下单,市价单下单失败,P1,
期权 - 期权做多 - 半日市- 盘前交易时间段（错误时段）  ，限价单下单成功,"期权做多 - 半日市（美股期权） - 盘前交易 ：[04:00:00, 09:30:00)美东时间--错误",期权做多单下单,未清算，限价单下单成功（预埋单），交易日是T日,P1,
期权 - 期权做多 - 半日市- 盘前交易时间段（错误时段）  -市价单下单失败,"期权做多 - 半日市（美股期权） - 盘前交易 ：[04:00:00, 09:30:00)美东时间--错误",期权做多单下单,市价单下单失败,P1,
期权 - 期权做多 - 半日市 交易中时间段-下单成功,"期权做多 - 半日市（美股期权） - 交易中 ：[09:30:00, 13:00:00)美东时间",期权做多单下单,未清算，限价单、市价下单成功（报盘），交易日是T日；条件单触发、GTD触发下单成功,P1,
期权 - 期权做多 - 半日市  已收盘  普通期权 ，限价单下单成功,"期权做多 - 半日市（美股期权） - 已收盘 ：[13:00:00, 23:59:59)美东时间",期权做多单下单,未清算，普通期权 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权做多 - 半日市  已收盘  -延长交易时间段的期权  ，限价单下单成功,"期权做多 - 半日市（美股期权） - 已收盘 ：[13:00:00, 23:59:59)美东时间",期权做多单下单,延长交易时间段的期权 13:00-13:15， 限价单下单成功（报盘），交易日是T日；13:15之后 ，限价单下单成功（预埋单），交易日是T+1日,P1,
期权 - 期权做多 - 半日市  已收盘  -市价单下单失败,"期权做多 - 半日市（美股期权） - 已收盘 ：[13:00:00, 23:59:59)美东时间",期权做多单下单,市价单下单失败,P1,
期权 - 期权做多 - 非交易日限价单下单成功,期权做多 - 非交易日,期权做多单下单,未清算，限价单下单成功（预埋单），交易日正确,P1,
期权 - 期权做多 - T-1日未清算 - 收市撤单-普通订单,期权做多 - T-1日未清算 - 收市撤单,期权做多单下单,普通订单收市撤单成功,P1,
期权 - 期权做多 - T-1日未清算 - 收市撤单-GTD\GTC 订单,期权做多 - T-1日未清算 - 收市撤单,期权做多单下单,GTD\GTC 订单 收市撤单成功，资金持仓处理正确,P1,
